class_name,day,subject,teacher,room,number,time
0а класс,понедельник,математика,Светлана,105,1,09:00-09:45
0а класс,понедельник,сербский язык,Ольга,105,2,09:55-10:35
0а класс,понедельник,чтение,Светлана,105,3,10:50-11:30
0а класс,понедельник,окр. мир,Светлана,105,4,11:50-12:30
0а класс,понедельник,обед, ,,5,12:40-13:20
0а класс,вторник,математика,Светлана,105,1,09:00-09:45
0а класс,вторник,английский язык,Алиса,105,2,09:55-10:35
0а класс,вторник,подготовка руки к письму,Светлана,105,3,10:50-11:30
0а класс,вторник,ИЗО,Наталья,105,4,11:50-12:30
0а класс,вторник,обед, ,,5,12:40-13:20
0а класс,среда,сербский язык,Ольга,105,1,09:00-09:45
0а класс,среда,Обучение грамоте,Ника,105,2,09:55-10:35
0а класс,среда,труд,Светлана,105,3,10:50-11:30
0а класс,среда,физкультура,Денис,,4,11:50-12:30
0а класс,среда,обед, ,,5,12:40-13:20
0а класс,четверг,музыка,Мария,105,1,09:00-09:45
0а класс,четверг,математика,Светлана,105,2,09:55-10:35
0а класс,четверг,ИЗО,Наталья,105,3,10:50-11:30
0а класс,четверг,театр,Митя,105,4,11:50-12:30
0а класс,четверг,обед, ,,5,12:40-13:20
0а класс,пятница,чтение,Светлана,105,1,09:00-09:45
0а класс,пятница,английский язык,Алиса,105,2,09:55-10:35
0а класс,пятница,окр. мир,Светлана,105,3,10:50-11:30
0а класс,пятница,труд,Светлана,105,4,11:50-12:30
0а класс,пятница,обед, ,,5,12:40-13:20
0б класс,понедельник,Обучение грамоте,Ника,106,1,09:00-09:45
0б класс,понедельник,театр,Митя,106,2,09:55-10:35
0б класс,понедельник,сербский язык,Ольга,106,3,10:50-11:30
0б класс,понедельник,музыка,Мария,106,4,11:50-12:30
0б класс,понедельник,обед, ,,5,12:40-13:20
0б класс,вторник,ИЗО,Наталья,106,1,09:00-09:45
0б класс,вторник,подготовка руки к письму,Светлана,106,2,09:55-10:35
0б класс,вторник,английский язык,Алиса,106,3,10:50-11:30
0б класс,вторник,математика,Светлана,106,4,11:50-12:30
0б класс,вторник,обед, ,,5,12:40-13:20
0б класс,среда,окр. мир,Светлана,106,1,09:00-09:45
0б класс,среда,чтение,Светлана,106,2,09:55-10:35
0б класс,среда,сербский язык,Ольга,106,3,10:50-11:30
0б класс,среда,физкультура,Денис,,4,11:50-12:30
0б класс,среда,обед, ,,5,12:40-13:20
0б класс,четверг,математика,Светлана,106,1,09:00-09:45
0б класс,четверг,английский язык,Алиса,106,2,09:55-10:35
0б класс,четверг,окр. мир,Светлана,106,3,10:50-11:30
0б класс,четверг,труд,Светлана,106,4,11:50-12:30
0б класс,четверг,обед, ,,5,12:40-13:20
