class_name,day,subject,teacher,room,number,time
0а класс,понедельник,математика,Светлана,105,1,09:00-09:45
0а класс,понедельник,сербский язык,Ольга,105,2,09:55-10:35
0а класс,понедельник,чтение,Светлана,105,3,10:50-11:30
0а класс,понедельник,окр. мир,Светлана,105,4,11:50-12:30
0а класс,понедельник,обед,None,,5,12:40-13:20
0а класс,понедельник,прогулка (Юля),None,,6,13:30-14:10
0а класс,понедельник,Юля - воспитатель,None,105,7,14:15-14:35
0а класс,понедельник,шахматы 14.20 Юля - воспитатель,None,105,8,14:40-15:20
0а класс,понедельник,физкультура,Марина,,9,15:30-16:10
0а класс,понедельник,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
0а класс,вторник,математика,Светлана,105,1,09:00-09:45
0а класс,вторник,английский язык,Алиса,105,2,09:55-10:35
0а класс,вторник,подготовка руки к письму,Светлана,105,3,10:50-11:30
0а класс,вторник,ИЗО,Наталья,113,4,11:50-12:30
0а класс,вторник,обед,None,,5,12:40-13:20
0а класс,вторник,прогулка (Юля),None,,6,13:30-14:10
0а класс,вторник,Юля - воспитатель,None,105,7,14:15-14:35
0а класс,вторник,Юля - воспитатель,None,105,8,14:40-15:20
0а класс,вторник,Юля - воспитатель,None,105,9,15:30-16:10
0а класс,вторник,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
0а класс,среда,сербский язык,Ольга,105,1,09:00-09:45
0а класс,среда,Обучение грамоте,Ника,105,2,09:55-10:35
0а класс,среда,труд,Светлана,105,3,10:50-11:30
0а класс,среда,физкультура,Марина,,4,11:50-12:30
0а класс,среда,обед,None,,5,12:40-13:20
0а класс,среда,прогулка (Юля),None,,6,13:30-14:10
0а класс,среда,тренинг,Людмила,112,7,14:15-14:35
0а класс,среда,Луки Юля - воспитатель,None,105,8,14:40-15:20
0а класс,среда,Юля - воспитатель,None,105,9,15:30-16:10
0а класс,среда,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
0а класс,четверг,музыка,Мария,105,1,09:00-09:45
0а класс,четверг,математика,Светлана,105,2,09:55-10:35
0а класс,четверг,ИЗО,Наталья,113,3,10:50-11:30
0а класс,четверг,театр,Митя,105,4,11:50-12:30
0а класс,четверг,обед,None,,5,12:40-13:20
0а класс,четверг,прогулка (Юля),None,,6,13:30-14:10
0а класс,четверг,Юля - воспитатель,None,105,7,14:15-14:35
0а класс,четверг,арт. мастерская  Юля воспитатель,None,105,8,14:40-15:20
0а класс,четверг,Юля - воспитатель,None,105,9,15:30-16:10
0а класс,четверг,Уходят домой/Юля Д. в 01,None,,10,16:12-17:00
0а класс,пятница,чтение,Светлана,105,1,09:00-09:45
0а класс,пятница,английский язык,Алиса,105,2,09:55-10:35
